year,location,plot,trt,rep,time_n,rate_n_applied_kgha,yld_grain_dry_kgha,nup_total_kgha,soil_plus_fert_n_kgha
2012,Minnesota,101,8,1,Pre,235.3785,12410.9162,198.7598983,284.6959
2012,Minnesota,102,3,1,Pre,67.251,10627.946,147.9717545,116.5684
2012,Minnesota,103,1,1,Pre,0,7428.081218,98.76939159,38.1089
2012,Minnesota,104,2,1,Pre,33.6255,9202.95318,111.4402105,71.7344
2012,Minnesota,105,4,2,Pre,100.8765,10841.12718,142.6638867,154.6773
2012,Minnesota,106,7,2,Pre,201.753,10646.64933,178.8020917,255.5538
2012,Minnesota,107,6,2,Pre,168.1275,12367.436,186.0535312,201.753
2012,Minnesota,108,5,2,Pre,134.502,13366.3617,196.7372901,168.1275
2012,Minnesota,201,7,1,Pre,201.753,14232.05348,228.7752039,251.0704
2012,Minnesota,202,5,1,Pre,134.502,14384.82498,226.0062179,183.8194
2012,Minnesota,203,6,1,Pre,168.1275,13592.21929,182.4230284,206.2364
2012,Minnesota,204,4,1,Pre,100.8765,14091.07839,187.7450959,138.9854
2012,Minnesota,205,3,2,Pre,67.251,10739.98139,133.4709504,121.0518
2012,Minnesota,206,1,2,Pre,0,8375.090921,109.4602449,53.8008
2012,Minnesota,207,8,2,Pre,235.3785,13797.48585,195.9321611,269.004
2012,Minnesota,208,2,2,Pre,33.6255,9713.487469,113.9030353,67.251
2012,Minnesota,301,3,3,Pre,67.251,12579.01217,180.8127829,106.48075
2012,Minnesota,302,7,3,Pre,201.753,13604.57178,208.7249878,240.98275
2012,Minnesota,303,2,3,Pre,33.6255,10185.95939,121.5055282,68.37185
2012,Minnesota,304,6,3,Pre,168.1275,14305.32146,204.3913188,202.87385
2012,Minnesota,305,8,4,Pre,235.3785,13929.59202,186.7752879,267.88315
2012,Minnesota,306,4,4,Pre,100.8765,10975.79925,147.0570815,133.38115
2012,Minnesota,307,5,4,Pre,134.502,11338.07029,148.3487895,162.52325
2012,Minnesota,308,1,4,Pre,0,5821.373521,68.79136285,28.02125
2012,Minnesota,401,5,3,Pre,134.502,13755.00237,198.8446114,173.73175
2012,Minnesota,402,1,3,Pre,0,9077.628329,122.2071396,39.22975
2012,Minnesota,403,4,3,Pre,100.8765,13760.32324,181.7348565,135.62285
2012,Minnesota,404,8,3,Pre,235.3785,14896.88686,227.4547494,270.12485
2012,Minnesota,405,2,4,Pre,33.6255,10551.46601,144.2828395,66.13015
2012,Minnesota,406,6,4,Pre,168.1275,15621.40653,227.0561988,200.63215
2012,Minnesota,407,3,4,Pre,67.251,10950.45072,146.6288513,95.27225
2012,Minnesota,408,7,4,Pre,201.753,13838.22253,210.3406252,229.77425
