run_n,location,year,time_n,price_grain,cost_n_fert,cost_n_social,price_ratio,f_stat,t_stat,level,wald_l,wald_u,pl_l,pl_u,boot_l,boot_u,opt_method_l,opt_method_u
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.0,0.0,0.0,,,,,,,N/A,N/A
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.016069772300486285,0.12676660532026335,0.09999999999999998,158.24754961802182,166.43203893022832,159.43227009539072,165.32288986707556,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.06537412098756762,0.2556836339671376,0.19999999999999996,154.08588558806653,170.5937029601836,156.55748799097967,168.43297346823,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.15144632851131723,0.3891610563743177,0.30000000000000004,149.77700418214545,174.9025843661047,153.6704955265944,171.7305801753037,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.28112730541723063,0.5302143944705564,0.4,145.2235591514802,179.45602939676994,150.72151710757663,175.29788018046548,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.46654891580609525,0.6830438592467808,0.5,140.28996044111344,184.3896281071367,147.6474984131308,179.25508767022544,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.7296439487447882,0.8541919839474874,0.6,134.76500379390248,189.91458475434766,144.357366029126,183.7963190257122,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,0.969292232239698,0.9845263977588935,0.667,130.55758412624954,194.1220044220006,141.96075397820664,187.3300594896041,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,1.113662836019053,1.0553022462779513,0.7,128.27281766783125,196.4067708804189,140.69885542182897,189.2758019350737,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,1.719858211274649,1.311433643950529,0.8,120.00445439709597,204.67513415115417,136.3617815288486,196.47271631277158,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,2.887032652296563,1.6991270265334972,0.9,107.48904334642127,217.19054520182885,130.4575768870547,207.82706960597898,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,4.18296428905827,2.045229642132703,0.95,96.31625398623474,228.36333456201538,125.80443572004225,218.44186829286463,,,Nelder-Mead,Nelder-Mead
1,Minnesota,2012,Pre,0.157,0.88,0.0,5.6050955414012735,7.597663249954025,2.756385903670335,0.99,73.35890332137046,251.32068522687968,117.76959692672757,241.79328969778436,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.0,0.0,0.0,,,,,,,N/A,N/A
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.016069772300486285,0.12676660532026335,0.09999999999999998,143.78375145753785,149.1773821920944,144.16210088287434,148.84675452541654,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.06537412098756762,0.2556836339671376,0.19999999999999996,141.04118827948002,151.91994537015222,141.85780935633315,151.300023626521,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.15144632851131723,0.3891610563743177,0.30000000000000004,138.2016079103208,154.75952573931144,139.5316739678958,153.88596895282595,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.28112730541723063,0.5302143944705564,0.4,135.20085855032332,157.76027509930893,137.1430196260792,156.66558691111595,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.46654891580609525,0.6830438592467808,0.5,131.9495854871994,161.01154816243283,134.63922404482742,159.72698871485088,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.7296439487447882,0.8541919839474874,0.6,128.30860376644063,164.65252988319162,131.94332243850477,163.2111042132204,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,0.969292232239698,0.9845263977588935,0.667,125.53588733087933,167.42524631875293,129.96860517866355,165.90027813090475,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,1.113662836019053,1.0553022462779513,0.7,124.03021164100706,168.9309220086252,128.92491587024193,167.37264921768184,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,1.719858211274649,1.311433643950529,0.8,118.58130743204143,174.37982621759082,125.31673510309862,172.7659693435579,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,2.887032652296563,1.6991270265334972,0.9,110.33357160839611,182.62756204123613,120.34593581113771,181.0992795596616,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,4.18296428905827,2.045229642132703,0.95,102.970632054678,189.99050159495425,116.37216491568225,188.68499816736107,,,Nelder-Mead,Nelder-Mead
2,Minnesota,2012,Pre,0.157,1.32,1.1,15.414012738853502,7.597663249954025,2.756385903670335,0.99,87.8415913281746,205.11954232145763,109.35638770396442,204.62564791566044,,,Nelder-Mead,Nelder-Mead
